Jour,Heure,Donnée,Valeur
2014-12-09,20:54:22,interieur,21.4
2014-12-09,20:54:24,interieur,21.4
2014-12-09,20:54:26,interieur,21.4
2014-12-09,20:54:28,interieur,21.5
2014-12-09,20:54:30,interieur,21.5
2014-12-09,20:54:32,interieur,21.5
2014-12-09,20:54:34,interieur,21.5
2014-12-09,20:54:36,interieur,21.6
2014-12-09,20:54:38,interieur,21.6
2014-12-09,20:54:40,interieur,21.6
2014-12-09,20:54:42,interieur,21.6
2014-12-09,20:54:44,interieur,21.7
2014-12-09,20:54:46,interieur,21.7
2014-12-09,20:54:48,interieur,21.7
2014-12-09,20:54:50,interieur,21.7
2014-12-09,20:54:52,interieur,21.7
2014-12-09,20:54:54,interieur,21.8
2014-12-09,20:54:56,interieur,21.8
2014-12-09,20:54:58,interieur,21.8
2014-12-09,20:55:00,interieur,21.8
2014-12-09,20:55:02,interieur,21.8
2014-12-09,20:55:04,interieur,21.9
2014-12-09,20:55:06,interieur,21.9
2014-12-09,20:55:08,interieur,21.9
2014-12-09,20:55:10,interieur,21.9
2014-12-09,20:55:12,interieur,22
2014-12-09,20:55:14,interieur,22
2014-12-09,20:55:16,interieur,22
2014-12-09,20:55:18,interieur,22.1
2014-12-09,20:55:20,interieur,22.1
2014-12-09,20:55:22,interieur,22.1
2014-12-09,20:55:24,interieur,22.1
2014-12-09,20:55:26,interieur,22.2
2014-12-09,20:55:29,interieur,22.2
2014-12-09,20:55:31,interieur,22.2
2014-12-09,20:55:33,interieur,22.2
2014-12-09,20:55:35,interieur,22.3
2014-12-09,20:55:37,interieur,22.3
2014-12-09,20:55:39,interieur,22.3
2014-12-09,20:55:41,interieur,22.3
2014-12-09,20:55:43,interieur,22.4
2014-12-09,20:55:45,interieur,22.4
2014-12-09,20:55:47,interieur,22.4
2014-12-09,20:55:49,interieur,22.4
2014-12-09,20:55:51,interieur,22.5
2014-12-09,20:55:53,interieur,22.5
2014-12-09,20:55:55,interieur,22.5
2014-12-09,20:55:57,interieur,22.5
2014-12-09,20:55:59,interieur,22.5
2014-12-09,20:56:01,interieur,22.5
2014-12-09,20:56:03,interieur,22.6
2014-12-09,20:56:05,interieur,22.6
2014-12-09,20:56:07,interieur,22.6
2014-12-09,20:56:09,interieur,22.6
2014-12-09,20:56:11,interieur,22.7
2014-12-09,20:56:13,interieur,22.7
2014-12-09,20:56:15,interieur,22.7
2014-12-09,20:56:17,interieur,22.7
2014-12-09,20:56:19,interieur,22.7
2014-12-09,20:56:21,interieur,22.7
2014-12-09,20:56:23,interieur,22.8
2014-12-09,20:56:25,interieur,22.8
2014-12-09,20:56:27,interieur,22.8
2014-12-09,20:56:29,interieur,22.8
